iter	Passed	Remaining
0	1	111
1	2	121
2	3	116
3	4	107
4	5	107
5	6	103
6	7	100
7	8	98
8	9	96
9	10	94
10	11	92
11	12	91
12	13	89
13	14	88
14	15	86
15	16	86
16	17	85
17	18	84
18	19	82
19	20	81
20	21	80
21	22	79
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	45
54	53	43
55	54	42
56	55	42
57	56	41
58	57	40
59	58	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
